IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:57:7c43:9360:8922:5786:8cdb,175,203,187,0
2606:4700:f4:dd9a:c033:3636:6e57:c39c,191,213,204,0
2606:4700:5b:bf53:55df:992c:4a14:9065,196,213,206,0
2606:4700:5a:d2c1:2981:afe1:d5e8:c22f,199,213,207,0
2803:f800:52:c076:233c:af08:599d:7a3,197,221,207,0
2a06:98c1:3103:621d:d3f5:3feb:d4e7:a8cd,197,223,208,0
2606:4700:2:2af:faf3:1482:9235:4b8f,202,217,208,0
2606:4700:440e:357c:da9d:f1f1:bcef:dd8e,197,219,208,0
2a06:98c1:58:4e20:3e59:c79a:63ab:3d48,198,219,208,0
2a06:98c1:3102:c8f9:5bbb:22ed:11b6:748f,202,219,209,0
2606:4700:58:5629:4a54:fa54:179c:6ec7,200,218,209,0
2606:4700:f:41ed:59f9:1b02:8f27:666e,201,214,209,0
2606:4700:300a:58dc:f10f:9968:b72b:308d,202,216,209,0
2606:4700:3000:c4c:87fc:c9e5:9db8:3e3f,201,220,209,0
2606:4700:7:2636:5c3f:3708:dcab:c7ee,201,217,209,0
2606:4700:3:1155:775e:66db:fd4d:eb82,202,216,209,0
2a06:98c1:51:74b8:e5c1:66fc:6949:e813,199,216,210,0
2606:4700:4406:2473:4fbe:c4f3:acd4:42e9,203,217,210,0
2606:4700:d:88cc:704d:67:6d3b:bfc2,201,218,210,0
2606:4700:300b:40f5:284a:5f4a:e98e:6fec,200,215,210,0
2606:4700:4401:7629:3e58:b5d2:40b9:a05d,201,220,210,0
2a06:98c1:3106:994f:ee4c:9670:acd9:130d,201,219,210,0
2400:cb00:2049:641f:7fb2:aa23:e646:1c3b,201,220,210,0
2a06:98c1:3104:c47e:dc6a:7b1f:428d:1441,203,216,210,0
2606:4700:440b:ce70:99ad:ec70:e2d0:43c4,205,217,211,0
2606:4700:5c:68f4:3f2b:2fe0:6154:3e3c,202,226,211,0
2606:4700:52:9d96:3d45:304a:2962:66b1,205,217,211,0
2606:4700:4700:1ec0:4351:e799:36eb:7ef8,206,219,211,0
2606:4700:3002:363d:929f:2919:e35a:a84a,203,219,211,0
2606:4700:4405:ae79:4ed1:a282:6e07:ae31,205,215,211,0
2606:4700:3001:24b5:758a:870c:b7ef:e138,202,215,211,0
2a06:98c1:56:1004:325d:53f9:56a2:ec8c,200,217,211,0
2803:f800:53:856e:cf61:ca0c:a764:43e7,201,219,211,0
2606:4700:3108:c7b4:442c:80a5:ce6b:e98f,207,218,211,0
2606:4700:1:b8f:2872:2d7:a31e:13b6,207,217,212,0
2606:4700:e:5581:4a45:86a2:33:a02c,206,220,212,0
2606:4700:a1:3b4f:f760:df3a:3543:f8e0,204,220,212,0
2606:4700:310c:d9b:6861:86af:92c7:4c1d,199,219,212,0
2606:4700:440c:62e0:3c30:d5e9:ea06:832f,203,222,212,0
2606:4700:4408:f968:637:b8a:75da:dad9,201,218,212,0
2803:f800:54:c71:117b:e1f9:de55:14a6,201,219,212,0
2606:4700:10f:b4f7:7d65:fe4c:adca:ea69,202,218,212,0
2a06:98c1:310d:52cf:e0c9:5835:7906:dee3,206,220,212,0
2a06:98c1:310c:289d:a56e:2172:39f4:65d4,206,218,212,0
2606:4700:8:3706:38cf:2c2a:f4f0:d6c7,205,222,212,0
2606:4700:440d:711f:352b:8bb1:c49f:be5e,206,219,213,0
2606:4700:6:47ac:454c:fe21:66f2:d8a1,205,222,213,0
2606:4700:3006:ec71:d0f6:1b4c:b83a:fe9,205,226,213,0
2606:4700:0:10b9:56a5:5c8c:3dd8:96dc,204,223,213,0
2606:4700:440f:7d50:d265:f309:4035:81dd,205,219,214,0
2606:4700:9:ca22:9bd6:304d:d2ce:ed5a,200,222,214,0
2606:4700:59:2de8:90e8:80b0:88f6:4767,206,224,214,0
2606:4700:101:181e:cf53:e1c7:5860:2e4a,205,221,214,0
2606:4700:54:b2dd:e733:cbfe:61d3:956c,204,220,214,0
2606:4700:b:80f3:5b6b:2f22:84fa:89da,207,226,214,0
2606:4700:3056:6d48:2999:d155:47a8:5409,207,219,214,0
2606:4700:3003:6952:bbea:8ae3:caac:b98c,211,218,214,0
2606:4700:3004:22ad:a1ef:fe19:acbf:1c54,208,221,214,0
2a06:98c1:310a:2efb:cd90:1c6c:714b:6333,208,223,215,0
2a06:98c1:310f:c3b6:16cc:e039:e091:e6a9,209,222,215,0
2a06:98c1:3108:584c:3b6e:4701:db80:5a2f,211,218,215,0
2a06:98c1:310b:3167:2d19:54e:3b4e:319c,208,223,215,0
2606:4700:4403:3fe6:c99a:62c9:dfb0:5955,207,222,215,0
2a06:98c1:53:fd5a:610:59aa:3e28:42e5,210,221,215,0
2a06:98c1:52:2b4e:a6da:8058:b8cb:6ce4,210,220,215,0
2a06:98c1:3109:d217:a3d3:8d69:fcaa:adb7,210,218,215,0
2606:4700:3009:1962:d5a:fea5:e5ab:5eeb,210,221,215,0
2606:4700:a:1cb:4f30:eb9e:16c3:dcbd,211,220,216,0
2a06:98c1:3100:21ba:3029:967e:be8d:f585,205,225,216,0
2606:4700:50:ad9c:17f1:3fb2:2ef3:f0ee,210,222,216,0
2606:4700:4:3934:b1bf:bc0b:289a:8e8f,207,224,216,0
2606:4700:a9:a3d7:da8e:f2c9:379c:5a3e,196,229,216,0
2a06:98c1:50:6b8:8066:6a03:12ed:4c54,212,223,216,0
2606:4700:4404:bbd5:5a01:4e4b:719f:9434,208,224,216,0
2400:cb00:f00e:a0c8:6b3:2bbf:6869:5a9d,210,224,216,0
2606:4700:5:e941:d068:8aca:69d1:9418,208,224,216,0
2606:4700:3005:5a69:83d:e43a:a64d:5d1e,207,222,216,0
2803:f800:51:ea0e:9b7f:cc26:ca16:e274,210,223,217,0
2606:4700:56:2400:f015:e130:c71e:f746,210,222,217,0
2606:4700:4402:cf03:75dc:cbf6:ad7d:4f70,207,226,217,0
2606:4700:a0:ebed:732d:c229:93f4:456f,211,224,217,0
2606:4700:53:fe07:10b4:ce07:bcbf:1f51,207,226,217,0
2606:4700:3007:24a6:62d4:7426:3a49:1b17,205,223,217,0
2a06:98c1:310e:b478:b35b:1be5:e56e:f9ff,209,225,217,0
2606:4700:4400:3616:3565:880f:f04d:7a3b,208,227,217,0
2606:4700:51:7cdd:d5ae:a50a:7304:947,206,224,217,0
2a06:98c1:3105:826a:5d34:9ead:5563:a8c4,210,225,217,0
2803:f800:50:642a:e8b1:64f6:87c4:70b1,212,222,218,0
2a06:98c1:3101:f2e9:4228:aa4f:f13e:fe6d,208,224,218,0
2606:4700:3055:b90d:ef32:71b9:e5d6:632,209,226,218,0
2a06:98c1:3107:509c:80e:8117:8cf7:e8ba,208,223,218,0
2606:4700:440a:13de:60d9:8393:dfe8:6963,209,225,218,0
2606:4700:c:e950:a3e2:a374:49f8:e168,210,222,219,0
2606:4700:4409:898e:ebc3:fa7a:5b61:245a,210,227,219,0
2606:4700:4407:acf5:978e:2def:811a:3e11,209,228,220,0
2606:4700:83b4:da4c:e76d:ae66:bf61:18a4,280,294,286,10
2606:4700:83b8:1232:cfbe:69b7:a969:9ff,279,298,290,10
2606:4700:83b2:1d77:af4f:3f6a:69bc:4d52,281,299,285,20
2606:4700:3119:eb9b:2e86:7fdb:842:eb35,205,216,212,30
2606:4700:3114:d6f4:38d8:a3a1:962e:2419,204,222,213,30
2606:4700:83b3:d727:827a:55f1:70b5:407,281,298,287,30
2606:4700:83bb:ceb8:d3d4:b63f:61e8:62d2,281,299,288,30
2606:4700:83b5:6ecb:55db:36de:ac99:72a4,283,296,289,30
2606:4700:1f:9dc1:aa6b:d9a2:18c4:3d77,209,293,231,40
2606:4700:22:9c05:4d92:f174:bf52:766a,209,296,232,40
2606:4700:83b1:d3e6:7ab3:a272:ab22:4fe7,281,290,287,40
2606:4700:83b0:b63a:999:17ae:2701:5b9,284,299,292,40
2606:4700:3115:79fe:b00f:ddd7:c7e4:982a,192,210,200,50
2606:4700:311f:ae28:731a:eace:376b:d26c,200,208,206,50
2606:4700:3111:4ada:1ee3:7879:7a3c:ff10,196,220,208,50
2606:4700:311e:a992:af5e:3adf:ab12:a19,206,222,213,50
2606:4700:3026:d331:8327:51b2:9e6e:aa71,213,224,218,50
2606:4700:15:1217:ade8:bae9:a7b6:67c9,215,262,231,50
2606:4700:83b9:799a:d6ae:ad24:fded:fef3,279,289,284,50
2606:4700:83b7:d4d5:6a51:f635:8c79:64d3,279,292,287,50
2606:4700:83b6:da63:7e8d:7e0d:6c91:c03d,283,298,289,50
